repo_name,full_name,description,language,topics,stargazers_count,forks_count,watchers_count,open_issues_count,size,created_at,updated_at,pushed_at,archived,has_issues,license,html_url,api_url,query_keyword,crawl_time
opencv,opencv/opencv,Open Source Computer Vision Library,C++,c-plus-plus|computer-vision|deep-learning|image-processing|opencv,89351,56656,89351,2734,561637,2012-07-19T09:40:17Z,2026-06-24T11:04:57Z,2026-06-24T11:04:12Z,False,True,Apache-2.0,https://github.com/opencv/opencv,https://api.github.com/repos/opencv/opencv,computer vision,2026-06-24T11:18:14.871470+00:00
supervision,roboflow/supervision,We write your reusable computer vision tools. 💜,Python,classification|coco|computer-vision|deep-learning|hacktoberfest|image-processing|instance-segmentation|low-code|machine-learning|metrics|object-detection|oriented-bounding-box|pascal-voc|python|pytorch|tensorflow|tracking|video-processing|yolo,44855,3984,44855,99,3524198,2022-11-28T14:08:44Z,2026-06-24T11:17:45Z,2026-06-24T06:22:29Z,False,True,MIT,https://github.com/roboflow/supervision,https://api.github.com/repos/roboflow/supervision,computer vision,2026-06-24T11:18:14.871470+00:00
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,500 AI Machine learning Deep learning Computer vision NLP Projects with code,Unknown,artificial-intelligence|artificial-intelligence-projects|awesome|computer-vision|computer-vision-project|data-science|deep-learning|deep-learning-project|machine-learning|machine-learning-projects|nlp|nlp-projects|python,34825,7290,34825,66,879,2021-01-02T12:08:37Z,2026-06-24T11:13:52Z,2025-08-01T11:54:09Z,False,True,unknown,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://api.github.com/repos/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,computer vision,2026-06-24T11:18:14.871470+00:00
awesome-computer-vision,jbhuang0604/awesome-computer-vision,A curated list of awesome computer vision resources,Unknown,,23366,4440,23366,90,547,2015-01-16T16:48:47Z,2026-06-24T09:27:38Z,2024-05-17T14:24:27Z,False,True,unknown,https://github.com/jbhuang0604/awesome-computer-vision,https://api.github.com/repos/jbhuang0604/awesome-computer-vision,computer vision,2026-06-24T11:18:14.871470+00:00
skyvern,Skyvern-AI/skyvern,Automate browser based workflows with AI,Python,ai|api|automation|browser|browser-automation|computer|gpt|llm|playwright|powerautomate|puppeteer|python|rpa|selenium|vision|workflow,21994,2053,21994,183,571448,2024-02-28T15:45:19Z,2026-06-24T10:34:55Z,2026-06-24T04:34:11Z,False,True,AGPL-3.0,https://github.com/Skyvern-AI/skyvern,https://api.github.com/repos/Skyvern-AI/skyvern,computer vision,2026-06-24T11:18:14.871470+00:00
vision,pytorch/vision,"Datasets, Transforms and Models specific to Computer Vision",Python,computer-vision|machine-learning,17768,7229,17768,1171,1295079,2016-11-09T23:11:43Z,2026-06-24T09:38:30Z,2026-06-24T09:38:18Z,False,True,BSD-3-Clause,https://github.com/pytorch/vision,https://api.github.com/repos/pytorch/vision,computer vision,2026-06-24T11:18:14.871470+00:00
cvat,cvat-ai/cvat,"Computer Vision Annotation Tool (CVAT) is a leading platform for building high-quality visual datasets for vision AI. It offers open-source, cloud, and enterprise products, as well as labeling services, for image, video, and 3D annotation with AI-assisted labeling, quality assurance, team collaboration, analytics, and developer APIs.",Python,annotation|annotation-tool|annotations|boundingbox|computer-vision|computer-vision-annotation|dataset|deep-learning|image-annotation|image-classification|image-labeling|image-labelling-tool|imagenet|labeling|labeling-tool|object-detection|pytorch|semantic-segmentation|tensorflow|video-annotation,16130,3718,16130,593,365765,2018-06-29T14:02:45Z,2026-06-24T10:28:49Z,2026-06-24T11:15:22Z,False,True,MIT,https://github.com/cvat-ai/cvat,https://api.github.com/repos/cvat-ai/cvat,computer vision,2026-06-24T11:18:14.871470+00:00
pytorch-grad-cam,jacobgil/pytorch-grad-cam,"Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more.",Python,class-activation-maps|computer-vision|deep-learning|explainable-ai|explainable-ml|grad-cam|image-classification|interpretability|interpretable-ai|interpretable-deep-learning|machine-learning|object-detection|pytorch|score-cam|vision-transformers|visualizations|xai,12886,1708,12886,165,143010,2017-05-31T19:55:15Z,2026-06-23T15:48:32Z,2026-06-14T03:41:33Z,False,True,MIT,https://github.com/jacobgil/pytorch-grad-cam,https://api.github.com/repos/jacobgil/pytorch-grad-cam,computer vision,2026-06-24T11:18:14.871470+00:00
deep-learning-drizzle,kmario23/deep-learning-drizzle,"Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",HTML,artificial-intelligence-algorithms|artificial-neural-networks|bayesian-statistics|computer-vision|deep-learning|deep-neural-networks|deep-reinforcement-learning|explainable-ai|geometric-deep-learning|graph-neural-networks|machine-learning|medical-imaging|natural-language-processing|optimization|pattern-recognition|probabilistic-graphical-models|probability|reinforcement-learning|speech-recognition|visual-recognition,12816,2973,12816,5,267,2018-11-26T01:17:36Z,2026-06-23T19:06:41Z,2024-10-19T17:28:52Z,False,True,unknown,https://github.com/kmario23/deep-learning-drizzle,https://api.github.com/repos/kmario23/deep-learning-drizzle,computer vision,2026-06-24T11:18:14.871470+00:00
kornia,kornia/kornia,🐍 Geometric Computer Vision Library for Spatial AI,Python,artificial-intelligence|computer-vision|deep-learning|hacktoberfest|image-processing|machine-learning|neural-network|python|pytorch|robotics|spatial-ai,11245,1190,11245,70,88146,2018-08-22T10:31:37Z,2026-06-24T09:46:06Z,2026-06-24T09:45:58Z,False,True,Apache-2.0,https://github.com/kornia/kornia,https://api.github.com/repos/kornia/kornia,computer vision,2026-06-24T11:18:14.871470+00:00
awesome-deep-vision,kjw0612/awesome-deep-vision,A curated list of deep learning resources for computer vision ,Unknown,,11170,2774,11170,47,326,2015-05-18T11:02:08Z,2026-06-24T08:32:18Z,2023-08-15T10:52:15Z,False,True,unknown,https://github.com/kjw0612/awesome-deep-vision,https://api.github.com/repos/kjw0612/awesome-deep-vision,computer vision,2026-06-24T11:18:14.871470+00:00
computervision-recipes,microsoft/computervision-recipes,"Best Practices, code samples, and documentation for Computer Vision.",Jupyter Notebook,artificial-intelligence|azure|computer-vision|convolutional-neural-networks|data-science|deep-learning|image-classification|image-processing|jupyter-notebook|kubernetes|machine-learning|microsoft|object-detection|operationalization|python|similarity|tutorial,9864,1206,9864,112,267320,2019-02-11T16:23:51Z,2026-06-23T10:12:04Z,2024-02-16T23:55:05Z,False,True,MIT,https://github.com/microsoft/computervision-recipes,https://api.github.com/repos/microsoft/computervision-recipes,computer vision,2026-06-24T11:18:14.871470+00:00
notebooks,roboflow/notebooks,"A collection of tutorials on state-of-the-art computer vision models and techniques. Explore everything from foundational architectures like ResNet to cutting-edge models like RF-DETR, YOLO11, SAM 3, and Qwen3-VL.",Jupyter Notebook,automatic-labeling-system|computer-vision|deep-learning|deep-neural-networks|google-colab|image-classification|image-segmentation|machine-learning|object-detection|open-vocabulary-detection|open-vocabulary-segmentation|paligemma|pytorch|qwen|tutorial|vlm|yolov5|yolov8|zero-shot-classification|zero-shot-detection,9499,1470,9499,85,793895,2022-11-18T18:16:56Z,2026-06-24T07:14:18Z,2026-05-21T16:15:53Z,False,True,unknown,https://github.com/roboflow/notebooks,https://api.github.com/repos/roboflow/notebooks,computer vision,2026-06-24T11:18:14.871470+00:00
tracking.js,eduardolundgren/tracking.js,A modern approach for Computer Vision on the web,JavaScript,,9472,1428,9472,226,32885,2012-06-18T04:39:34Z,2026-06-21T04:38:25Z,2023-06-03T20:24:23Z,False,True,NOASSERTION,https://github.com/eduardolundgren/tracking.js,https://api.github.com/repos/eduardolundgren/tracking.js,computer vision,2026-06-24T11:18:14.871470+00:00
ImageAI,OlafenwaMoses/ImageAI,A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,Python,ai-practice-recommendations|algorithm|artificial-intelligence|artificial-neural-networks|densenet|detection|gpu|image-prediction|image-recognition|imageai|inceptionv3|machine-learning|object-detection|offline-capable|prediction|python|python3|squeezenet|video,8870,2193,8870,316,63626,2018-03-19T23:12:33Z,2026-06-24T08:30:09Z,2024-08-03T09:45:20Z,False,True,MIT,https://github.com/OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,computer vision,2026-06-24T11:18:14.871470+00:00
gocv,hybridgroup/gocv,"Go package for computer vision using OpenCV 4 and beyond. Includes support for DNN, CUDA, OpenCV Contrib, and OpenVINO.",Go,computer-vision|computervision|cuda|dnn|face-tracking|gocv|golang|image-processing|mjpeg|mjpeg-stream|object-classification|object-tracking|onnx|opencv|openvino|tensorflow|video|video-capture|yolo,7468,897,7468,348,10813,2017-09-18T21:54:17Z,2026-06-22T07:35:18Z,2026-05-28T08:16:03Z,False,True,NOASSERTION,https://github.com/hybridgroup/gocv,https://api.github.com/repos/hybridgroup/gocv,computer vision,2026-06-24T11:18:14.871470+00:00
ccv,liuliu/ccv,"C-based/Cached/Core Computer Vision Library, A Modern Computer Vision Library",C++,,7222,1702,7222,79,444070,2010-09-15T15:59:47Z,2026-06-22T14:18:08Z,2026-06-15T00:42:22Z,False,True,NOASSERTION,https://github.com/liuliu/ccv,https://api.github.com/repos/liuliu/ccv,computer vision,2026-06-24T11:18:14.871470+00:00
daily-paper-computer-vision,amusi/daily-paper-computer-vision,记录每天整理的计算机视觉/深度学习/机器学习相关方向的论文,Unknown,computer-vision|deep-learning|face-detection|machine-learning|object-detection|paper,6768,1272,6768,0,1001,2018-05-15T16:27:19Z,2026-06-22T13:52:01Z,2023-07-08T08:14:09Z,False,True,unknown,https://github.com/amusi/daily-paper-computer-vision,https://api.github.com/repos/amusi/daily-paper-computer-vision,computer vision,2026-06-24T11:18:14.871470+00:00
mmcv,open-mmlab/mmcv,OpenMMLab Computer Vision Foundation,Python,,6446,1764,6446,456,14664,2018-08-22T07:05:26Z,2026-06-22T17:34:57Z,2026-01-29T17:08:43Z,False,True,Apache-2.0,https://github.com/open-mmlab/mmcv,https://api.github.com/repos/open-mmlab/mmcv,computer vision,2026-06-24T11:18:14.871470+00:00
